ID,year,job_id,why_left
64,1984,9,5
64,1984,10,5
64,1985,11,5
65,1980,1,2
65,1981,2,5
65,1982,3,5
65,1983,4,7
65,1983,5,7
65,1984,5,1
65,1984,6,1
65,1984,7,1
66,1980,2,5
66,1981,1,5
66,1981,2,5
66,1982,3,5
66,1982,4,1
66,1983,5,3
66,1983,6,3
66,1984,7,5
66,1985,8,5
66,1985,9,3
66,1985,10,5
66,1986,11,1
66,1987,12,5
66,1989,13,5
66,2002,14,1
66,2006,15,5
66,2008,16,-1
66,2012,17,1
67,1979,2,5
67,1980,2,1
67,1980,3,3
67,1980,1,5
67,1982,4,5
67,1983,5,3
67,1987,6,5
67,1991,8,1
67,1996,9,6
67,1996,10,5
67,2008,11,6
67,2016,12,-2
68,1980,1,5
68,1980,2,5
68,1980,3,5
68,1980,4,5
68,1980,5,5
68,1982,6,5
68,1982,7,5
68,1983,8,7
68,1983,9,5
68,1989,10,5
68,1991,11,5
68,1992,12,5
68,1994,14,6
69,1982,1,1
69,1982,2,1
69,1983,2,7
69,1984,3,1
69,1985,3,1
69,2006,4,5
69,2012,5,6
70,1979,1,6
70,1979,2,1
70,1979,3,5
70,1980,5,5
70,1980,4,5
70,1980,6,5
70,1980,7,1
70,1981,8,1
70,1982,10,5
70,1983,9,3
70,1983,11,3
70,1984,12,1
70,1984,13,1
70,1985,15,1
70,1986,16,1
70,1988,18,1
70,1991,14,6
70,1991,19,1
70,1993,20,1
70,2002,21,5
70,2008,23,6
71,1980,1,5
71,1980,2,5
71,1980,3,1
71,1981,4,1
71,1981,5,1
71,1982,4,1
71,1983,6,3
71,1983,7,3
71,1984,7,1
71,1984,8,1
71,1985,9,1
71,1986,10,1
71,1986,11,1
71,1987,12,3
71,1988,13,1
71,1996,15,1
71,1998,14,5
71,1998,16,5
71,2000,17,5
71,2010,18,6
71,2010,19,1
72,1979,1,5
72,1980,2,1
72,1980,3,1
72,1980,3,5
72,1981,2,3
72,1982,4,5
72,1982,5,5
72,1982,6,5
72,1985,7,5
72,1985,8,5
72,1987,9,1
72,1987,10,1
72,1992,11,1
72,1992,12,1
72,1993,13,3
72,1993,14,3
72,1994,16,1
72,1996,15,5
72,1996,17,5
72,1998,18,1
72,1998,19,5
72,2006,21,6
72,2010,20,1
73,1980,1,1
73,1981,2,1
73,1982,3,5
73,1983,4,3
73,1984,5,1
73,1985,6,5
73,1987,7,1
73,1988,8,5
73,1993,9,6
73,1996,10,6
73,1996,11,1
73,1996,12,1
73,2002,13,1
73,2004,14,1
73,2010,15,5
74,1979,2,5
74,1979,3,5
74,1979,4,5
74,1980,5,5
74,1980,1,5
74,1980,6,5
74,1981,7,5
74,1982,1,5
74,1982,8,5
74,1983,9,7
74,1983,10,7
74,1983,11,2
74,1984,12,5
74,1985,14,5
74,1985,15,5
74,1985,16,1
74,1986,12,5
74,1986,13,1
74,1986,17,1
74,1986,18,5
74,1987,19,1
74,1987,20,5
74,1991,21,5
74,1993,23,5
75,1979,1,6
75,1979,2,1
75,1980,3,5
75,1980,2,1
75,1980,4,5
75,1980,5,5
75,1981,6,5
75,1981,7,5
75,1982,9,1
75,1982,10,1
75,1983,11,3
75,1984,8,3
75,1984,12,1
75,1984,13,1
75,1986,14,5
75,1987,15,5
75,1991,16,5
75,1993,17,5
75,2008,18,6
76,1980,1,5
76,1980,2,2
76,1981,3,5
76,1981,4,1
76,1982,5,1
76,1982,6,1
76,1983,7,7
76,1983,8,7
76,1984,9,5
76,2002,10,5
77,1981,1,3
77,1982,1,1
77,1983,2,3
77,1984,4,1
77,1985,3,1
77,1985,4,1
77,1986,3,3
77,1986,5,1
77,1987,6,5
77,1998,7,5
77,2002,8,5
77,2004,9,1
77,2016,10,6
78,1979,1,5
78,1979,2,5
78,1984,3,5
78,1984,4,1
78,1988,5,4
78,1992,6,4
79,1979,1,5
79,1980,2,1
79,1980,3,1
79,1980,4,1
79,1980,3,5
79,1981,5,1
79,1982,6,5
79,1985,7,1
79,1986,8,5
80,1980,1,5
80,1981,1,5
80,1981,2,1
80,1982,2,5
80,1982,3,5
80,1982,4,2
80,1984,1,2
80,1984,5,5
80,1988,6,5
80,1988,7,5
80,1989,9,6
80,1993,11,3
80,1996,10,5
80,2000,12,6
80,2000,13,6
80,2000,14,6
80,2000,15,1
80,2002,16,1
80,2002,17,1
80,2008,19,3
80,2010,18,1
80,2010,19,3
81,1980,1,3
81,1981,2,5
81,1984,3,5
81,1984,4,5
81,1986,5,3
81,1987,6,2
81,1987,7,1
81,1987,8,1
81,1988,9,1
81,1988,10,1
81,1988,11,1
81,1988,13,1
81,1989,12,6
81,1989,15,6
81,1992,14,5
81,1992,15,6
81,1996,20,1
81,1998,16,6
81,1998,18,1
81,1998,19,6
81,1998,21,3
81,2000,22,6
81,2004,19,1
81,2004,23,1
81,2004,24,5
81,2006,25,6
81,2014,26,1
81,2014,27,1
81,2014,28,1
81,2014,29,1
82,1979,1,5
82,1979,2,2
82,1984,3,1
82,1987,4,1
82,1987,5,5
82,1987,6,1
82,1996,7,1
82,1996,8,1
82,1998,9,6
83,1979,2,2
83,1979,3,2
83,1980,1,6
83,1980,4,6
83,1983,1,1
83,1986,5,5
83,1986,6,2
83,1987,7,1
83,1987,8,5
83,1987,9,1
83,1987,10,5
83,1991,11,1
83,1993,12,6
84,1980,1,5
84,1980,2,5
84,1980,3,3
84,1981,3,3
84,1982,4,5
84,1982,5,3
84,1982,6,1
84,2002,8,5
84,2002,9,5
85,1979,1,2
85,1979,2,5
85,1979,3,2
85,1979,4,2
85,1980,5,1
85,1980,6,1
85,1981,7,5
85,1984,8,5
85,1987,8,1
85,1989,9,1
85,2002,11,5
85,2004,10,1
86,1979,1,1
86,1980,2,5
86,1994,3,6
86,2000,4,5
86,2002,5,5
87,1980,1,3
87,1984,2,5
87,1986,3,5
87,1986,4,5
87,1988,5,1
87,1988,6,1
87,1989,7,1
87,1993,8,1
87,1996,10,6
87,1996,11,6
87,1996,12,5
87,1998,9,1
87,2000,13,5
87,2002,14,1
87,2002,15,1
87,2014,17,6
88,1979,1,5
88,1979,2,5
88,1980,4,5
88,1984,6,5
88,1985,7,5
88,1988,8,5
88,2002,11,5
88,2010,12,1
89,1979,2,-3
89,1979,3,5
89,1979,4,3
89,1980,1,3
89,1980,1,5
89,1981,5,3
89,1981,6,1
89,1982,7,5
89,1998,8,1
89,1998,9,5
89,2000,10,6
90,1979,1,5
90,1980,2,5
90,1980,3,-3
90,1981,4,5
90,1981,5,5
90,1983,5,7
90,1986,6,5
90,1996,7,6
90,1998,8,5
90,1998,9,6
90,2000,10,5
90,2006,11,6
90,2012,12,5
91,1980,1,5
91,1983,2,7
91,1985,3,5
91,1986,4,5
91,1987,5,5
91,1989,6,5
91,1992,7,3
91,2004,8,1
91,2004,9,5
91,2006,10,5
91,2006,11,5
91,2008,13,5
91,2012,14,6
91,2016,16,5
91,2016,17,6
91,2018,18,5
91,2014,15,6
92,1981,1,5
92,1982,2,4
92,1985,4,5
92,1987,3,4
92,1991,5,5
92,1991,6,1
93,1980,1,5
93,1980,2,5
93,1982,3,5
93,1983,4,7
93,1987,5,1
93,1988,6,5
93,1988,7,5
93,1991,8,5
93,1992,10,6
93,1994,9,5
93,1998,11,5
93,2014,12,1
94,1979,1,1
94,1979,2,6
94,1979,3,2
94,1979,4,5
94,1980,5,-3
94,2018,6,5
95,1979,1,5
95,1980,2,1
95,1980,1,5
95,1981,3,5
95,1985,4,4
95,1987,5,5
95,1994,6,6
95,1996,7,6
95,1998,8,5
95,2000,9,1
95,2006,10,5
95,2008,11,5
95,2016,13,6
95,2018,14,5
95,2014,12,5
96,1979,1,5
96,1979,2,1
96,1979,3,5
96,1979,4,5
96,1979,5,5
96,1980,6,4
96,1981,7,5
96,1982,8,5
96,1982,9,5
96,1983,10,7
96,1984,11,5
96,1986,12,4
96,1991,13,1
96,1991,14,1
96,1996,15,6
96,2008,13,1
96,2018,17,-3
96,2014,16,6
97,1981,1,1
97,1981,2,5
97,1981,3,5
97,1983,5,7
97,2002,4,5
97,2002,6,5
97,2004,7,5
97,2010,8,1
97,2016,10,1
97,2018,11,5
97,2014,9,5
98,1979,2,5
98,1980,3,5
98,1980,5,1
98,1980,6,5
98,1980,7,5
98,1983,8,7
98,1987,8,4
99,1980,1,5
99,1984,3,5
99,1986,2,4
99,1991,5,1
99,1993,6,4
99,1996,7,1
99,1998,4,1
99,2006,9,5
99,2008,10,5
99,2012,8,5
100,1980,3,5
100,1980,4,5
100,1984,5,5
100,1985,6,4
100,1987,7,1
100,1988,8,5
100,1988,10,5
100,1996,11,6
100,1996,12,6
101,1979,2,5
101,1980,2,1
101,1984,2,5
101,1985,3,5
101,1987,4,5
101,1993,5,5
101,1994,6,5
102,1986,1,5
103,1979,1,5
103,1979,2,5
103,1980,3,5
103,1981,4,5
103,1982,5,5
103,1983,6,7
103,1984,7,5
103,1984,8,3
103,1996,9,5
103,2000,10,5
103,2004,11,6
103,2012,12,1
103,2012,13,5
103,2012,14,1
103,2012,15,1
103,2014,16,1
104,1979,1,5
104,1982,2,5
104,1982,3,5
104,1983,4,1
104,1993,5,5
104,1993,6,5
104,1998,7,1
105,1979,2,2
105,1979,3,2
105,1980,4,5
105,1980,5,5
105,1980,6,5
105,1986,1,5
105,1986,7,1
105,1988,8,5
105,1988,10,2
105,1991,9,5
105,1998,11,1
105,1998,12,5
105,1998,13,1
105,2000,14,5
106,1980,1,5
106,1981,2,5
106,1981,3,5
106,1983,4,7
106,1993,5,5
107,1985,2,5
107,1991,3,1
107,1994,3,5
107,2004,4,6
107,2014,5,6
108,1979,1,5
108,1981,2,5
108,1982,3,5
108,1982,4,5
108,1984,3,5
108,1985,6,5
108,1986,5,5
108,1987,7,5
108,1988,8,5
108,1989,9,1
108,1991,10,1
108,1993,11,5
108,1996,12,5
108,1996,13,5
109,1980,1,5
109,1980,2,1
109,1981,3,5
109,1982,4,5
110,1979,1,5
110,1980,2,5
110,1983,3,7
110,1984,4,5
110,1985,5,1
110,1985,6,5
110,1989,7,5
110,1991,8,5
110,2004,10,1
110,2006,10,1
110,2008,9,-1
111,1979,1,6
111,1980,2,5
111,1980,2,5
111,1982,3,4
111,1987,4,1
111,1994,5,4
111,1994,6,4
111,2018,7,1
112,1980,1,5
112,1980,2,5
112,1980,3,2
112,1981,4,5
112,1983,5,7
112,1983,6,7
112,1984,5,5
112,1984,8,2
112,1984,9,5
112,1985,10,5
112,1986,11,5
112,1986,12,5
112,1988,13,5
112,1988,14,5
112,1988,15,1
112,1988,16,5
112,1991,17,6
112,1991,18,2
112,1992,17,5
112,1994,19,6
112,1994,20,6
112,1996,21,6
112,1996,22,6
112,1996,24,6
112,2002,23,1
112,2004,25,5
112,2006,26,1
112,2008,27,1
112,2016,30,5
112,2018,29,5
113,1979,1,5
113,1980,2,2
113,1980,3,5
114,1982,1,1
114,1982,2,2
114,1983,3,7
114,1986,1,5
115,1980,1,5
115,1980,2,5
115,1980,3,1
115,1980,4,5
115,1980,5,1
115,1981,6,1
115,1981,7,1
115,1982,7,5
115,1984,8,5
115,1984,9,5
115,2014,10,5
115,2014,11,5
115,2014,12,1
115,2014,14,5
116,1980,1,5
116,1982,2,5
116,1983,2,7
116,1991,3,6
116,1991,4,6
116,1991,5,6
116,1991,6,5
117,1980,1,5
117,1980,2,5
117,1980,1,5
117,2012,1,1
117,2012,3,5
118,1979,1,5
118,1979,2,6
118,1979,3,2
118,1980,4,2
118,1980,5,2
118,1980,6,2
118,1980,7,1
118,1981,8,1
118,1981,9,5
118,1981,10,1
118,1982,11,5
118,1983,12,6
118,1983,13,4
118,1983,14,7
118,1988,15,5
119,1979,1,5
119,1979,2,1
119,1980,3,5
119,1980,4,5
119,1980,5,5
119,1980,6,5
119,1980,7,1
119,1981,8,1
119,1982,9,1
119,1983,10,7
119,1983,11,7
119,1983,12,1
119,1985,14,2
119,1991,15,2
119,1996,13,1
119,2006,16,1
119,2006,17,1
119,2008,16,1
120,1979,1,1
120,1979,2,1
120,1979,3,1
120,1979,5,1
120,1980,4,1
120,1980,6,1
120,1980,7,1
120,1981,9,1
120,1981,10,1
120,1983,11,7
120,1983,12,7
120,1984,12,5
120,1984,13,5
120,1985,8,5
120,1985,14,5
120,1988,15,5
120,1994,18,6
120,1996,17,1
120,2014,20,5
121,1980,1,1
121,1981,2,5
121,1982,3,3
121,1984,5,5
121,1993,4,4
121,1996,6,5
121,2000,7,5
122,1979,1,5
122,1980,2,5
122,1982,4,3
122,1982,5,3
122,1983,3,2
122,1983,6,7
122,1984,7,5
122,1984,9,5
122,1984,10,5
122,1985,11,1
122,1991,8,6
122,1996,12,4
122,2002,13,1
122,2016,17,5
122,2014,14,1
122,2014,16,6
123,1979,1,5
123,1982,2,5
123,1984,4,5
123,1986,3,5
123,1986,5,5
123,1993,7,6
124,1980,1,2
124,1980,2,2
124,1980,1,5
124,1982,3,2
124,1982,4,2
124,1982,5,5
124,1983,6,7
124,1984,7,2
124,1984,8,2
124,1984,9,2
124,1985,11,2
124,1985,12,5
124,1985,13,5
124,1985,14,5
124,1986,15,2
124,1986,16,1
124,1986,17,5
124,1987,18,5
124,1989,19,4
124,1991,20,6
124,1996,21,1
124,2002,22,6
124,2008,23,1
124,2012,24,1
125,1979,1,5
125,1979,3,1
125,1980,2,5
125,1988,1,5
125,1988,4,5
125,1989,5,1
125,1996,6,6
125,1998,7,6
126,1986,1,5
126,1986,2,5
126,2000,3,1
126,2002,4,6
126,2012,5,5
126,2018,6,5
127,1979,1,2
127,1979,2,2
127,1980,3,1
127,1980,4,3
127,1980,5,3
127,1983,6,5
127,1984,6,2
127,1985,7,5
127,1993,8,1
128,1979,1,5
128,1979,2,5
128,1980,3,5
128,1980,4,-3
128,1980,5,-3
128,1981,6,5
128,2000,8,6
128,2014,7,1
129,1979,1,1
129,1980,2,5
129,1980,3,5
129,1981,4,1
129,1982,5,1
129,1994,6,6
129,2010,8,6
129,2018,7,5
133,1980,1,5
133,1980,2,5
133,1980,3,5
133,1981,2,5
133,1981,4,5
133,1982,5,5
133,1982,6,5
133,1982,7,5
133,1983,8,7
133,1985,9,5
133,1985,10,5
133,2012,11,5
133,2018,12,5
134,1979,1,1
134,1979,2,1
134,1980,3,-3
134,1980,4,5
134,1987,3,5
134,1987,5,1
134,1988,6,1
134,1991,7,1
134,1992,8,4
134,1996,9,6
134,2010,10,5
134,2010,11,5
134,2010,12,1
135,1980,1,5
135,1981,2,2
135,1981,3,5
135,1982,4,5
135,1982,5,1
135,1983,6,7
135,1986,7,5
135,1986,8,5
135,1987,9,5
135,1988,8,5
135,1991,11,1
135,1993,10,1
135,1994,12,6
136,1981,1,5
136,1986,2,5
136,1991,3,2
136,1994,4,1
137,1979,1,1
137,1980,2,1
137,1980,2,5
137,1980,3,5
137,1981,3,1
137,1981,4,1
137,1981,5,1
137,1982,7,5
137,1986,6,5
137,1988,8,5
137,1989,9,1
137,1994,10,5
137,2002,11,6
138,1979,1,3
138,1980,1,3
138,1980,1,3
138,1980,3,3
138,1981,1,3
138,1984,2,5
138,1985,4,5
138,1986,2,5
138,1986,5,5
138,1986,6,5
138,1987,7,5
138,1987,8,5
138,1988,9,1
138,1989,10,6
138,1992,12,1
138,1993,11,1
138,1993,13,4
138,1998,12,6
138,2000,13,6
138,2008,14,-1
138,2012,15,1
138,2014,16,1
139,1980,1,2
139,1980,2,5
139,1980,3,5
139,1980,4,5
139,1981,5,5
139,1981,6,5
139,1981,7,5
139,1982,1,1
139,1982,8,5
139,1983,9,7
